,nombre_jugador,id_carta,zona,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,3,
,Choromaikol,Escarapela Nacional,4,
,Choromaikol,Escarapela Nacional,4,
,Choromaikol,Gandarillas,0,
,Choromaikol,Abrazo De Maipu,0,
,Choromaikol,Hipolito Villegas,0,
,Choromaikol,Francisco Bilbao,0,
,Choromaikol,Carabina Evans,0,
,Choromaikol,El Relampago,0,
,Choromaikol,Hilaron Daza,1,
,Choromaikol,La Independencia,1,
,Choromaikol,Humberstone,1,
,Choromaikol,Duelo De Navajas,1,
,Choromaikol,Benjamin Vicuna Mackena,1,
,Choromaikol,El Marte,1,
,Choromaikol,El Marte,1,
,Choromaikol,Canon de Corto Alcance,1,
,Choromaikol,El Marte,1,
,Choromaikol,Encalladero Chilote,1,
,Choromaikol,Encalladero Chilote,1,
,Choromaikol,Canon de Corto Alcance,1,
,Choromaikol,Fundicion de Guayacan,1,
,Choromaikol,El Marte,1,
,Choromaikol,Toma Del Morro,1,
,Choromaikol,Escarapela Nacional,2,
,Choromaikol,Escarapela Nacional,2,
,Choromaikol,Fusil Grass Cheatellerau,2,
,Choromaikol,Anibal Pinto,2,
,Choromaikol,Antonio Varas,2,
,Choromaikol,La Independencia,2,
,Choromaikol,Fundicion de Guayacan,2,
,Choromaikol,Remington Rolling Block,2,
,Choromaikol,Fernando VII,2,
,Choromaikol,Fusil Grass Cheatellerau,2,
,Choromaikol,Antonio Varas,5,
,Choromaikol,Antonio Varas,5,
,Choromaikol,Antonio Varas,5,
,Choromaikol,Antonio Varas,5,
,Choromaikol,Andres Bello,6,
,Choromaikol,Carabina Evans,8,
,Choromaikol,Carabina Evans,8,
,Choromaikol,Fundicion de Guayacan,7,
,Choromaikol,Fundicion de Guayacan,7,
,Choromaikol,Fundicion de Guayacan,7,
,Choromaikol,Fundicion de Guayacan,7,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Escarapela Nacional,3,
,Juan,Andres Bello,0,
,Juan,Rodriguez Aldea,0,
,Juan,Fernando VII,0,
,Juan,Fuerte de niebla,0,
,Juan,Mineral de Chanarcillo,0,
,Juan,Abrazo De Maipu,0,
,Juan,Quemar La Ciudad,0,
,Juan,Gandarillas,1,
,Juan,Telegrafo,1,
,Juan,Covadonga,1,
,Juan,Carabina Evans,1,
,Juan,La Independencia,1,
,Juan,Fragata Warren,1,
,Juan,Bergantin Aguila,1,
,Juan,Remington Rolling Block,1,
,Juan,El furioso,1,
,Juan,Humberstone,1,
,Juan,Fundicion de Guayacan,1,
,Juan,Fundicion de Guayacan,1,
,Juan,Fuerte de niebla,1,
,Juan,Encalladero Chilote,1,
,Juan,Abrazo De Maipu,1,
,Juan,Emboscada,1,
,Juan,Camilo Henriquez,2,
,Juan,Rafael Maroto,2,
,Juan,Anibal Pinto,2,
,Juan,Hilaron Daza,2,
,Juan,El Relampago,2,
,Juan,Fusil Grass Cheatellerau,2,
,Juan,Humberstone,2,
,Juan,Quemar La Ciudad,2,
,Juan,Orosimbo Barboza,5,
,Juan,Bernardo De Monteagudo,5,
,Juan,Antonio Varas,5,
,Juan,Gabino Gainza,6,
,Juan,Los Pincheira,6,
,Juan,Hipolito Villegas,6,
,Juan,Perez Cotapos,6,
,Juan,Mineral de Chanarcillo,7,
,Juan,Encalladero Chilote,7,
